full;name;last_name;spellings
Friedrich Schmidt-Bleek;Friedrich;Schmidt-Bleek;
Steven Schneider;Steven;Schneider;
Eric Schneiderman;Eric;Schneiderman;
Michael Schnell;Michael;Schnell;
Dörte Schnitzer;Dörte;Schnitzer;GermanZero Dörte Schnitzer
Olaf Scholz;Olaf;Scholz;Finanzminister Scholz
Christian Schönwiese;Christian;Schönwiese;
Christopher Schrader;Christopher;Schrader;
Stephan Schulz;Stephan;Schulz;
Svenja Schulze;Svenja;Schulze;
Franz Schütz;Franz;Schütz;
Karsten Schwanke;Karsten;Schwanke;
Susanne Schwarz;Susanne;Schwarz;
Wilfried Schwarze;Wilfried;Schwarze;
Horst Seehofer;Horst;Seehofer;
Naomi Seibt;Naomi;Seibt;
Amelia Sharman;Amelia;Sharman;
Nir Shaviv;Nir;Shaviv;
Michael Shellenberger;Michael;Shellenberger;
Nils Simon;Nils;Simon;
Andy Singer;Andy;Singer;
Mario Sixtus;Mario;Sixtus;
Erna Solberg;Erna;Solberg;
Lawrence Solomon;Lawrence;Solomon;
Martin Sonneborn;Martin;Sonneborn;
Thilo Spahl;Thilo;Spahl;
Jens Spahn;Jens;Spahn;
Roy Spencer;Roy;Spencer;
Toralf Staud;Toralf;Staud;
Finn Steffens;Finn;Steffens ;
Rosi Steinberger;Rosi;Steinberger;
Karl Steinbuch;Karl;Steinbuch;
Frank-Walter Steinmeier;Frank-Walter;Steinmeier;
Nicholas Stern;Nicholas;Stern;
Tom Steyer;Tom;Steyer;
Thomas Stocker;Thomas;Stocker;
Christian Stöcker;Christian;Stöcker;
Paula Stoffels;Paula;Stoffels;
Wolf Dieter Storl;Wolf Dieter;Storl;
Karin Strenz;Karin;Strenz;
Natascha Strobl;Natascha;Strobl;
Maurice Strong;Maurice;Strong;
Axel Strutz;Axel;Strutz;
Sebastian Supe;Sebastian;Supe;
Simon Sutterlütti;Simon;Sutterlütti;
Henrik Svensmark;Henrik;Svensmark;
Erik Swenson;Erik;Swenson;
Hiroko Tabuchi;Hiroko;Tabuchi;
Mitzi Jonelle Tan;Mitzi Jonelle;Tan;Mitzi
Ulrich Tengler;Ulrich;Tengler;
Nikolai Tesla;Nikolai;Tesla;
Johann Tetzel;Johann;Tetzel;
Inga Thao My Bui;Inga;Thao My Bui;
Hanna Thiele;Hanna;Thiele;
Julia Thöring;Julia;Thöring;
Jördis Thümmler;Jördis;Thümmler;
Greta Thunberg;Greta;Thunberg;Greta, Gretas, Greta Thunfisch, Greta Thünfisch, Fräulein Thunfisch, Greta Tunberg, Grethel Thunfisch
Wolfgang Thüne;Wolfgang;Thüne;
Oliver Tickell;Oliver;Tickell;
Frans Timmermann;Frans;Timmermann;Herr Timmermann, Herrn Timmermann
Chuck Todd;Chuck;Todd;
Michael Treml;Michael;Treml;
Kevin Trenberth;Kevin;Trenberth;
Jürgen Trittin;Jürgen;Trittin;
Donald Trump;Donald;Trump;
Ted Turner;Ted;Turner;
Mark Twain;Mark;Twain;
Marius Ulm;Marius;Ulm;
Ferhat Unvar;Ferhat;Unvar;
Jörg Urban;Jörg;Urban;
Arnold Vaatz;Arnold;Vaatz;
Fritz Vahrenholt;Fritz;Vahrenholt;
William van Wijngaarden;William;van Wijngaarden;
Jan Veizer;Jan;Veizer;
Kaloyan Velkov;Kaloyan;Velkov;
Françoise Vergès;Françoise;Vergès;
Roda Verheyen;Roda;Verheyen;
Milan Viethen;Milan;Viethen;
Benjamin von Brackel;Benjamin;von Brackel;
Florian von Brunn;Florian;von Brunn;
Ursula von der Leyen;Ursula;von der Leyen;Ursula, Leyen
Eckart von Hirschhausen;Eckart;von Hirschhausen;
John von Neumann;John;von Neumann;
Tilman von Samson;Tilman;von Samson;
Beatrix von Storch;Beatrix;von Storch;
Hermann von Wissmann;Hermann;von Wissmann;
Jonas Voß;Jonas;Voß;
Jimmy Wales;Jimmy;Wales;
Anthony Watts;Anthony;Watts;
Ulrich Weber;Ulrich;Weber;
Ronja Weil;Ronja;Weil;
Anja Weißgerber;Anja;Weißgerber;
Harald Welzer;Harald;Welzer;
Franziska Wessel;Franziska;Wessel;
Daniel Wetzel;Daniel;Wetzel;
Sheldon Whitehouse;Sheldon;Whitehouse;
Joachim Wille;Joachim;Wille;
Timothy Wirth;Timothy;Wirth;
Gerhard Wisnewski;Gerhard;Wisnewski;
Oliver Wittkovski;Oliver;Wittkovski;
Eckart Witzigmann;Eckart;Witzigmann;
Wolfgang Wodarg;Wolfgang;Wodarg;
Dietmar Woidke;Dietmar;Woidke;
Janusz Wojciechowski;Janusz;Wojciechowski;
David Wojick;David;Wojick;
Eric Worrall;Eric;Worrall;
Thom Yorke;Thom;Yorke;
Valentina Zharkova;Valentina;Zharkova;
Ding Zhongli;Ding;Zhongli;
Xiao Ziniu;Xiao;Ziniu;
János Zlinszky;János;Zlinszky;
Mark Zuckerberg;Mark;Zuckerberg;
