original;pro_mods;con_mods
klimaretter;['engagiert', 'global', 'engagiert', 'amtlich', 'fleißig'];['natürlich', 'weltweit', 'dämlich', 'selbsternannt', 'einfältigst', 'selbst', 'ernannt', 'deutsch', 'gutgläubig', 'ausgerechnet', 'national', 'ahnungslos', 'recht', 'vermeintlich', 'professionell', 'deutsch']
klimaretterin;['engagiert', 'engagiert'];[]
klimarettung;['kein', 'verharmlosend', 'entferntest'];['sogenannter', 'sogenannter', 'garantierend', 'finanziell', 'unerreichbar', 'chemisch', 'notwendig', 'angeblich', 'physikalisch', 'selbst', 'angeblich', 'schwachsinnig', 'sogenannter']
klimascharade;;['Pariser']
klimaschiff;;['sinkend']
klimaschmerz;;[]
klimaschrecken;;[]
klimaschuld;;[]
klimaschwachsinn;;['fatal']
klimaschwindel;;[]
klimaschwindler;;['britisch']
klimaschänder;[];
klimaschändung;[];
klimasekte;;[]
klimasektierer;;[]
klimashow;;['groß']
klimaskepsis;[];['solidest', 'fundiert']
klimaskeptiker;['sogenannter'];['vielfältig', 'sogenannter', 'sogenannter', 'ideologisch', 'mehr', 'versammelt', 'selber', 'gebildet', 'sympathisch', 'bekennend', 'wichtig', 'weg', 'schon', 'kein', 'versammelt', 'einiger', 'prominent', 'kein', 'kein', 'vernetzt', 'verzettelt', 'fanatisch', 'nur', 'vieler', 'weniger', 'falsch', 'einfach', 'weniger', 'unbedarft', 'sogenannter']
klimaskeptikerin;;['']
klimaskeptizismus;[];['gefälscht']
klimasozialismus;;['Tödlicher', 'politisch']
klimaspinner;;['derzeitig', 'deutsch']
klimastaat;;['vieler', 'gefordert']
klimastopp;[];
klimastreit;[];['ungeschnitt']
klimastreiter;[];
klimataliban;;[]
klimateppich;;[]
klimateufel;;[]
klimatheater;;['groß']
klimatheologie;;[]
klimatod;;['beliebt', 'baldig']
klimatrash;;[]
klimatraumatisierung;;[]
klimatrip;;[]
klimatyrannei;;[]
klimaunfug;;[]
klimaunfähigkeit;[];
klimaungerechtigkeit;[];
klimaunsinn;;[]
klimauntergang;;['weit', 'nur']
klimavatikan;;['Potsdamer', 'deutsch']
klimaverblödung;;['beispiellos']
klimaverbrechen;[];[]
klimaverbrecher;[];[]
klimaverdummung;;['regierungskonforme', 'geballt', 'viel']
klimaverleugnung;;[]
klimavernunft;;[]
klimaverrücktheit;;[]
klimaverstand;;['klug']
klimaverteidigung;;[]
klimaverweigerung;;['global', 'global']
klimaverwirrung;;['groß']
klimavirus;;[]
klimawahn;['verschwörungsideologisch', 'verschwörungsideologisch'];['mehr', 'hysterisch', 'irren', 'fortgeschritten', 'fortgeschritten', 'heilig']
klimawahnsinn;;['mehr', 'hysterisch', 'fortgeschritten']
klimawandler;;[]
klimawarner;;['richtig']
klimaweltuntergang;;['drohend', 'selbst']
klimawendehals;;[]
klimawirklichkeit;;['kein']
klimazar;;['neu']
klimazerrüttung;[];
klimazerstörer;['groß'];[]
klimazerstörung;['induziert', 'kapitalistisch'];
klimazeugs;;[]
klimazipfel;;['brisant']
klimazirkus;;[]
klimazunft;;[]
klimazwang;;[]
klimaüberhitzung;;['richtig']
