,pattern,keyword,concept,origin
65,klimaaktivistin,"Klimaaktivistin und Taifun Überlebende Marinel Ubaldo , die auf mehreren Klimakonferenzen gesprochen hat , sagte einmal , ihr komme es vor , als werde sie als Klimaaktivistin von den Philippinen nur eingeladen , um eine traurige Geschichte eines „ Opfers der Klimakrise "" zu hören - ernst genommen fühle sie sich nicht .",person,P2022
62,klimaaktivistin,"Die Erfahrung , eine Klimaaktivistin zu sein , gibt mir eine andere Denkweise als die der Menschen um mich herum , ich kann mich nicht einfach zu anderen Menschen gesellen , ich fühle mich irgendwie isoliert .",person,P2022
70,klimaaktivistin,"Vanessa Nakate , Klimaaktivistin in Uganda berichtet , schon vor Corona sei es schwierig gewesen große Klimastreiks zu organisieren , da sie oft keine Erlaubnis für größere Streiks erhalte habe und streikenden Schüler * innen der Ausschluss aus der Schule drohte .",person,P2022
73,klimaaktivistin,"Gretas Geburtstag Am dies wöchigen Freitag , der erste Freitag des Jahres , ist Greta Thunberg , die schwedische Klimaaktivistin , Jahre alt geworden .",person,P2022
59,klimaaktivistin,"Die Klimaaktivistinnen Adélaïde Charlier ( Belgien ) , Anuna De Wever ( Belgien ) , Luisa Neubauer ( Deutschland ) und Greta Thunberg ( Schweden ) werden am Mittwoch , .",person,P2022
55,klimaaktivistin,"And what is the point of learning facts when the most important facts clearly means nothing to our society ? - Greta Thunberg , eine 16jährige KlimaAktivistin im Streik .",person,P2022
57,klimaaktivistin,"Unter ihnen auch die 24jährige Klimaaktivistin Vanessa Nakate , die in Uganda trotz großer Widerstände , wie Strafen für protestierende Studierende , die Fridays for FutureBewegung organisiert .",person,P2022
64,klimaaktivistin,"KlimaAktivistin Howey im Hungerstreik Nachdem sie mit anderen Klima- und Umweltaktivist:innen im MormontGebirge in der Schweiz gegen die Zerstörung der Biodiversität und Wälder der Berge durch den multinationalen Konzern Holcim protestiert hatte , wurde die chinesische KlimaAktivistin Howey Ou festgenommen und angeklagt .",person,P2022
68,klimaaktivistin,"Nachdem Howey Ou , Jahre und Klimaaktivistin seit Monaten alleine für Klimagerechtigkeit protestiert hat und dafür enormen Repressionen durch die Polizei ausgesetzt war und sogar aus der Schule geworfen wurde , schließen sich ihr nun Schüler * innen in ganz China an und schweigen für einen Tag .",person,P2022
85,klimafreund,"Hallo liebe Klimafreunde , bin ebenso ein junger Klimafreund , möchte nur ein paar Anmerkungen zu eurer Zusammenfassung zur GradStudie machen … Ihr schreibt : „ Im Sektor der Energiewirtschaft fand das Institut unter anderem heraus , dass erneuerbare Energien und explizit die Wind- und Solarenergie in den kommenden Jahren stark ausgebaut werden müssen .",person,P2022
