original,second_part,noun_forms,lemma,genus,compound_forms
klimalobby,lobby,"['lobbys', 'lobby']",lobby,f,"['klimalobbys', 'klimalobby']"
klimalösegeld,lösegeld,"['lösegeldern', 'lösegelde', 'lösegeld', 'lösegelder', 'lösegeldes', 'lösegelds']",lösegeld,n,"['klimalösegeldern', 'klimalösegelde', 'klimalösegeld', 'klimalösegelder', 'klimalösegeldes', 'klimalösegelds']"
klimalüge,lüge,"['lüge', 'lügen']",lüge,f,"['klimalüge', 'klimalügen']"
klimalügner,lügner,"['lügners', 'lügnern', 'lügner']",lügner,m,"['klimalügners', 'klimalügnern', 'klimalügner']"
klimamacher,macher,"['machern', 'macher', 'machers']",macher,m,"['klimamachern', 'klimamacher', 'klimamachers']"
klimamafia,mafia,"['mafias', 'mafia']",mafia,f,"['klimamafias', 'klimamafia']"
klimamahnwache,mahnwache,"['mahnwachen', 'mahnwache']",mahnwache,f,"['klimamahnwachen', 'klimamahnwache']"
klimamanipulation,manipulation,"['manipulationen', 'manipulation']",manipulation,f,"['klimamanipulationen', 'klimamanipulation']"
klimamantra,mantra,"['mantra', 'mantras', 'mantren']",mantra,n,"['klimamantra', 'klimamantras', 'klimamantren']"
klimamilliardär,milliardär,"['milliardär', 'milliardären', 'milliardäre', 'milliardärs']",milliardär,m,"['klimamilliardär', 'klimamilliardären', 'klimamilliardäre', 'klimamilliardärs']"
klimamisere,misere,"['miseren', 'misere']",misere,f,"['klimamiseren', 'klimamisere']"
klimamonster,monster,"['monster', 'monstern', 'monsters']",monster,n,"['klimamonster', 'klimamonstern', 'klimamonsters']"
klimamutti,mutti,"['muttis', 'mutti']",mutti,f,"['klimamuttis', 'klimamutti']"
klimamärchenonkel,märchenonkel,"['märchenonkeln', 'märchenonkels', 'märchenonkel']",märchenonkel,m,"['klimamärchenonkeln', 'klimamärchenonkels', 'klimamärchenonkel']"
klimanationalismus,nationalismus,"['nationalismen', 'nationalismus']",nationalismus,m,"['klimanationalismen', 'klimanationalismus']"
klimanonsens,nonsens,"['nonsens', 'nonsenses']",nonsens,m,"['klimanonsens', 'klimanonsenses']"
klimanotfall,notfall,"['notfälle', 'notfällen', 'notfalls', 'notfalles', 'notfalle', 'notfall']",notfall,m,"['klimanotfälle', 'klimanotfällen', 'klimanotfalls', 'klimanotfalles', 'klimanotfalle', 'klimanotfall']"
klimanotlage,notlage,"['notlage', 'notlagen']",notlage,f,"['klimanotlage', 'klimanotlagen']"
klimanotstandsregierung,notstandsregierung,"['notstandsregierung', 'notstandsregierungen']",notstandsregierung,f,"['klimanotstandsregierung', 'klimanotstandsregierungen']"
klimaorthodoxie,orthodoxie,['orthodoxie'],orthodoxie,f,['klimaorthodoxie']
klimapanik,panik,"['panik', 'paniken']",panik,f,"['klimapanik', 'klimapaniken']"
klimapanikmache,panikmache,['panikmache'],panikmache,f,['klimapanikmache']
klimapapst,papst,"['päpsten', 'papst', 'papsts', 'papste', 'päpste', 'papstes']",papst,m,"['klimapäpsten', 'klimapapst', 'klimapapsts', 'klimapapste', 'klimapäpste', 'klimapapstes']"
klimaparadies,paradies,"['paradiese', 'paradiesen', 'paradieses', 'paradies']",paradies,n,"['klimaparadiese', 'klimaparadiesen', 'klimaparadieses', 'klimaparadies']"
klimapflicht,pflicht,"['pflichten', 'pflicht']",pflicht,f,"['klimapflichten', 'klimapflicht']"
klimaplanwirtschaft,planwirtschaft,"['planwirtschaft', 'planwirtschaften']",planwirtschaft,f,"['klimaplanwirtschaft', 'klimaplanwirtschaften']"
klimapolemik,polemik,"['polemiken', 'polemik']",polemik,f,"['klimapolemiken', 'klimapolemik']"
klimapopulismus,populismus,['populismus'],populismus,m,['klimapopulismus']
klimaprediger,prediger,"['prediger', 'predigers', 'predigern']",prediger,m,"['klimaprediger', 'klimapredigers', 'klimapredigern']"
klimapresse,presse,"['presse', 'pressen']",presse,f,"['klimapresse', 'klimapressen']"
klimaprofessor,professor,"['professors', 'professoren', 'professor']",professor,m,"['klimaprofessors', 'klimaprofessoren', 'klimaprofessor']"
klimaprofiteur,profiteur,"['profiteurs', 'profiteur', 'profiteure', 'profiteuren']",profiteur,m,"['klimaprofiteurs', 'klimaprofiteur', 'klimaprofiteure', 'klimaprofiteuren']"
klimapropaganda,propaganda,['propaganda'],propaganda,f,['klimapropaganda']
klimapropagandafilm,propagandafilm,"['propagandafilms', 'propagandafilmes', 'propagandafilmen', 'propagandafilme', 'propagandafilm']",propagandafilm,m,"['klimapropagandafilms', 'klimapropagandafilmes', 'klimapropagandafilmen', 'klimapropagandafilme', 'klimapropagandafilm']"
klimapropagandist,propagandist,"['propagandisten', 'propagandist']",propagandist,m,"['klimapropagandisten', 'klimapropagandist']"
klimaprotestler,protestler,"['protestlern', 'protestler', 'protestlers']",protestler,m,"['klimaprotestlern', 'klimaprotestler', 'klimaprotestlers']"
klimapseudowissenschaft,pseudowissenschaft,"['pseudowissenschaften', 'pseudowissenschaft']",pseudowissenschaft,f,"['klimapseudowissenschaften', 'klimapseudowissenschaft']"
klimapäckchen,päckchen,"['päckchen', 'päckchens']",päckchen,n,"['klimapäckchen', 'klimapäckchens']"
klimapäpstin,päpstin,"['päpstinnen', 'päpstin']",päpstin,f,"['klimapäpstinnen', 'klimapäpstin']"
klimaquatsch,quatsch,"['quatsche', 'quatsches', 'quatschs', 'quatsch']",quatsch,m,"['klimaquatsche', 'klimaquatsches', 'klimaquatschs', 'klimaquatsch']"
klimarealismus,realismus,"['realismen', 'realismus']",realismus,m,"['klimarealismen', 'klimarealismus']"
klimarealist,realist,"['realisten', 'realist']",realist,m,"['klimarealisten', 'klimarealist']"
klimareligion,religion,"['religion', 'religionen']",religion,f,"['klimareligion', 'klimareligionen']"
klimaretter,retter,"['retter', 'rettern', 'retters']",retter,m,"['klimaretter', 'klimarettern', 'klimaretters']"
klimaretterin,retterin,"['retterinnen', 'retterin']",retterin,f,"['klimaretterinnen', 'klimaretterin']"
klimarettung,rettung,"['rettungen', 'rettung']",rettung,f,"['klimarettungen', 'klimarettung']"
klimascharade,scharade,"['scharaden', 'scharade']",scharade,f,"['klimascharaden', 'klimascharade']"
